Q,A
관심과목 담았다가 삭제하면 다시 등록 못하는 거임? 삭제한 게 개설과목에 안 떠서,ㄴㄴ
애매하게 0.5점이라 한과목을 신청 못해서요...,졸업 전까지만 다 들으면 되는거라 상관없음
심선이라 전공학점에 들어간다던데실험 많이하나요??,하는거 추천
19점이라 뜨고 그이상은 수강신청을 못하던데 이러면 어떻게 해? 나 재수강해야 되는데 신청가능학점 초과라 안됨...,다른 과목 하나 포기해야지
아직 1학년이라고 뜨는거 정상맞지?,ㅇㅇ
논리적 사고(언어논리) 들으신 분 있나요??,저용
"2월4일 4학년 1,2학년은 7일인데 3학년은 언제에요??",나머지 다 7일임
글쓰기 왜 1명씩이야??,삭제된 댓글입니다.
전공 과목만 신청해보니까 16.5 학점 나오던데 교양 과목도 들어야 함?,16.5는 너무 적은데 교양하나ㄱ
20학번인데 2학년 1학기 쉬고 2학기에 복학해서 원래는 이제 3학년인데 지금 2학년 1학기 수업 들어야되면 저는 아직 2학년인건가요 ?,그쵸
1학년 때 pr인가? 그거만 1학기때 듣고 2학년때 대학영어 했으면 된건가요,네
"수강신청앱이랑 사이트둘다 3,4학년과목은 뜨는데 2학년과목은 안뜨는데 이거 왜그런건가요?",나도 2학년인데 2학년과목이 안뜨는데 왜구런거지??
4시간이라 나와있는데 몇시간하나요? 얘도 화학 및 실험 처럼 이론2시간 실험 2시간 이런 식으로 하나요??,이론 전혀 없고 실험만 함. 보통 2시간 30분이면 실험 다 끝나는데 조별로 자체적으로 실험 진행하기 때문에 늦게 끝나는 조도 있음. 그냥 넉넉 잡아서 4시간이라고 한거야
회로이론이랑 c언어중에 어떤게 더 힘드셨나요?기초전자 넣을 날짜를 고민하고 있어서요ㅠㅠ,회로
통신 쪽으로 가려면 뭐듣는게 맞음..?디지털시스템이 맞지? 전자회로는 반도체 쪽??,통신이면 대학원가겠네
인간과 윤리 소영역이 분석과 판단인데17학번 기준으로는 철학과 윤리 쪽 맞을까요..?,대치과목 확인해봐요
이제 4학년 올라가는데 수강신청 홈페이지에 들어가니깐 학년은 3학년이고 수강학년은 4학년으로 뜨는데 그럼 진급된건가…?,네 4학년거신청하면됨
이제 4학년인데 졸업요건 충족하는지 못보나..?교양 위치가 계속 바뀌는거같아서 확인하고싶은데..,나도 귱금 ㅠ
강의 시간보니까 4시간 이던데 정말 4시간 풀로 하나요?,화공기초실험 들었는데 4시간 풀 해본적 없어요!
하루 풀로하면 많이 힘든가요? 화요일 강의 전부 같은 건물이긴함,네
나 그럼 학년 못올라간거고 이번년도에도 계속 그학년이야? 2학점이부족해서...,여름방학중에 올라갈걸
정원 1인건 수강신청할때는 다 풀리는거야?,ㅇㅇㅇㅇㅇ
못들었던 수업 들어야 하는데 신입생 전용 수업이면 전 못듣는 건가요..?,학년 정원에 1학년말고 다른학년 정원이 0으로 되어있으면 못듣는걸로 알고 있어요!
과목명만 같으면 재수강 되는 거임 아니면 교수/시간까지 다 같아야 재수강 되는 거임?,과목명만
인원이 2명밖에 안되네 들을 수 있나,ㅇㅇ ㅋㅋㅋㅋㄱㅋㅋ
둘중에 뭐가 더 어려워요? 기초전자실험 때문에 고민인데,공수
최소14학점이상 부터 지급이라는데  12학점 + 패논패2학점도 가능?,ㅇㅇ
몇학점이여야만 2학년으로 되는건가요?미달이여서 1학년인건가요 지금?,35학점읽걸
1학년때랑 다른거 맞지? 분반표 보니까 다른 사람들 다 그대로인데 난 달라져서;;,강의가 다른데 분반도 수강신청따라 다시짜지
"공학 글쓰기랑 실용,창의 글쓰기랑 다른거임??공대면 공학 글쓰기 해야하는거 맞나?",다른거야 근데 권장이지 무조건 공글은 안해도 됨
스크래치 자바 c언어 파이썬 안들었는데 ㅈ된거임??,글쓰기랑 대학영어는 들음
학사일정은 2월4일이라 나와있어서 4일인줄알았는데 수강신청페이지는 7일이라나오네,"1,2학년은 7일 맞아요"
오늘 점심 메뉴 아는사람????,https://www.hanbat.ac.kr/prog/carteGuidance/kor/sub06_030301/C1/calendar.do
기공과 일반화학 교선이라고 적혀있긴 한데 졸업하려면 꼭 들어야 하나요?,ㄴ
상담했는데 상담해야 수강신청 가능하다 뜨는데 어캄?,나도..
2학년으로 뜨고 2학년 신청일이 저렇게 뜨는데2학년 신청일에 수강신청 해야되는거야??3학년 신청일에 하는건줄...,2학년진급학점넘김?
이거 오류인가?,나도 4안넘었는데 22인데..
과목담기서 신청가능학점 왜 22학점임??뭐지,저도 그래요
청약일날 그 청약한 주식이 뿅 하고 생기는고야?,청약은  신청기간이고 상장날이 뿅 하고 계좌에 생기지
최소 33학점 이상이라고 하셨는데 교필이랑 교선이라 합쳐서 33학점 이상인건가요? 아니면 교선으로만 33학점 이상이여야 하는건가요?,포함해서
복수전공으로 수강신청 할 때 몇학년 무슨 학기 상관 없이 시간이 맞는 수업 신청해서 수강해도 되는 건가요??,정원있으면 됨. 근데 학년다르면 정원이 별로 없어서 개빡셀걸?
전공이랑 심선으로만 수강신청 해도 상관없죠…? 교양은 나중에 해도 되는거죠!?! 전공이랑 심선으로만 수강신청할 사람 있으신가요?,삭제된 댓글입니다.
항상 외출로 돌려놓는단 말야? 근데 이제 설날에 한 6일정도 비는데 계속 외출로 해두면 보일러 아까워서 예약으로 해둘까 생각하는데 어느게 더 절약 된다고 생각해?? 예약으로 한다고하면 몇시간에 몇도로해듀는지 알려주라!,그냥 창문 닫고 나가 암것도 틀지말구 그렇게 안추음
2학기에 전과 가능한가요???,ㅇㅇ
1학기하고 군대가는사람?,삭제된 댓글입니다.
그럼 룸메 구하는 사람 많으려나?운에 안맞기고?,구해도 모르는 사람이라 운임 ㅋㅋㅋ말로는 얌전하다고 했는데 아닐수도
이수 체계도에 있는거 걍 다들으면 되는거에요? 택일이라고 써있는거 말고는?,건환공은 모든학년 권고과목 알려줌
건환공 공업수학 필수로 들어야하나요?ㅜ,전 작년에 안들었어요 공수 빼고 다른 전공은 다 들었음
몇전공 몇교양 듣고 총 몇학점 들음?나는 2전공 1교양에 특화해서 13.5,난 전2 교4생각중
안녕하세요 융합경영학과 수강신청하려구 하는데최대 몇 학점까지 가능한지 알려주실 수 있을까요?,19
돈은 받은 적 없는데 국가장학금 어플 들어가보니깐 지급이라고 떠있어 그럼 어케 된거야..?,너 성적 안돼서 안준거임
인포그래픽 수업 어땠어요?? 어떤거 배워요?,인포 걍 구글에 인포그래픽이라 치면 나오는 이미지 비슷한거 만드는 건데 어짜피 비주얼은 작성자분 스타일에서 벗어난건 나오지 않을거라 걱정하지 마시구요 아마 자료 모으고 정리하는게 좀 어려울거에용
많이 듣는거임 적게 듣는거임?,보통
아니면 신청해야하나여?,짜준대로 신청해야 될걸요?
ㅇㅊㅎ vs ㅇㅇㅇㄴㄱ?,ㄹㅇ 레전드 두명이다
심화전공으로만 36학점 이상이여야지 졸업 가능한거죠???,저는 다른과이긴한데 저희과도 36학점이상이에여
자취 첨으로 해봐서 잘 모르는데 대부분 언제쯤 자취방 구하나요?!,지금
친구들이랑 코시국이지만.. 4월에 제주도 여행을 가고싶은데요~ 중간고사 기간이 언제쯤일까요?? 학사일정 봐도 중간고사 기간은 안나와있어서 ㅠㅠ 교수님 재량이겠지만 대략적인 기간만이라도 알 수 있을까요?? 토 일 월 가기로했는데 월요일 당일이 시험일까봐 걱정입니다..,4월 3째주
건환공 토목인사람?,ㄴ
모바일로 수강신청 하려는데 로그인하고  매뉴얼에 나와있는 화면이랑 다른데 어디로 들어가야돼?ㅠ,삭제된 댓글입니다.
6전공 1교양 1특필 해서 19.5면 ㄱㅊ지?,최대학점 19아님?…
한밭관 신청하는 게 가장 확률 높을까요??아님 다 상관없고 랜덤뽑기 하는것일까요,btl ㄱ
에바야?,난7전공
군대갔다와서 다 까먹었는데 2학년 1학기 총 몇학점으로 신청 해야해..?,야 너두?
"재수강 하는데 과제도 같을까? 미리 해두게,,",ㅋㅋㅋㅋㅋㅋㅋㅋ혹시 모르지
지금 코로나 급증한다고 비대면 해야 되는 거 아니냐는 사람들은 현재 정부가 진행하는 거리 두기가 옳다고 생각하는 사람들인 건가요? 거리 두기는 의미 없다고 생각하면서 대면은 왜 반대하는 건가요? 정말 궁금해서요.,혹시 같이수업들은 사람중에 코로나걸렷다고하면 30-40명 단체로 pcr해야하고 잘못걸리면 자가격리도 하고 등등 .. 이런게 싫음 난
관심과목 담기 어떻게하는거였죠?.......다 까먹었어요 ㅜ,야... 너두?
남잔데 파데 첨으로 조금 발라봤는데 그냥 폼클렌징으로 세수하면댐?,ㅇㅇ
도대체 뭘 위한 제도임? 이거때문에 시간표짤때마다 ㅈㄴ 스트레스 받네복전생은 어쩌라는거임,서버 터져서 학년별로 나눈거임
이거 시간표 어케 짜야해전공 뭐 어떻게 하라는거야..?,원래 심필 과목이 전선으로 갔음! 모르겠음 과사 홈페이지 가서 교과과정 확인해봐.! 위에 학번들은 작년 교과과정으로 해서 어디쪽인지 참고하고 신청하면 될듯
장바구니 담기는 선착순 아니지? 내일 오후에 들어가도 할 수 있고,ㅇㅇ
올해 4학년인데  3학년 꺼 전공 듣고 싶으면신청 못하니?,4학년 수강인원 있으면 가능
국립대라 싼편인가?,되게 비싼편임
전공 4개면 너무 적나요?,완전 적음
다중전공으로 뜨던데 다중전공 신청?안한 학생도 들을수있나요?전공과 관련된 산선이면 전공학점에 포함되나요? 아시는분 ㅠㅠ,"다중전공 중에 산업연계 전공과목인데, 다중전공 신청 안 해도 수업 수강 가능한 걸로 알고 있어요.! 다중전공 신청은 수업 다 듣고 다음에 신청기간에 해도 괜찮지만, 기본전공이나 심화전공 학점에는 안 들어갑니다!"
열역학  유체역학 동역학  자동제어 중에뭐가 제일  평이하니?,4개다 평이함
식료품가게 있나염?,가까운덴 롯데마트 999학하동으로 내려가면 정립스토아 등 2개정도 마트 있어요
기숙사가 생각이하라서 자차끌고 다닐건디 영 아닌가?,개추
한 학기 더 다니면 된다!!,응 자퇴할꺼야!!
들어보신 분 계신가요..?? 교양 마땅히 할게 없어서 들을까 하는데...,음악의 이해 19년도에 수강했는데 나름 괜찮음. 신청이 힘들뿐..
정원 안 뜬 건 뭐야??,1학년꺼같음
어디 서류같은데에 기입할때 2학년이라고 쓰나요?,아직 등록금을 안냈으니 따지면 1아닌가
뭘 들어야 할까요???,기구학 ㄱㄱ
공공요금 얼마나오셨나요?,학생생활관 홈페이지 들어가면 정산된 엑셀파일 있어요
느려도 너무 느리네 진짜 짜증나게,너도 졸업조회 누르면 안들어가져?
우수 ABC로 나뉘는거 등록금 확인할때쯤 알 수 있나요?,ㅇ
전선 다 듣는게 좋나..?,빼봤자 하나빼고 다 들어야 할텐데 그냥 어지간하면 다 들으세요
ㅈㄱㄴ 시간표채우는데 전공을 많이 듣고싶은데 시간이 안맞아서..,ㅇㅇ
내가 뛰어가고 있는데 갑자기 어떤 여자분이저기요 혹시 대학생이세요?라고 묻길래신천지 같아서 아닌데요 하고 그냥 계속 뛰어 갔는데나한테 아 그게 아니라  이러시던데 이거 신천지 맞지?,ㅇㅇ 맨날 똑같아아니~ 다름이 아니라~요지랄
c언어나 c++사용함? 아니면 책 팔게,c언어 기반으로 하긴 합니당
오랜만에 가보는데 책장이 텅텅 비어있네,코로나땜에 그런듯
알바하는데 사장님이 최저시급도 안준다고 하면 뭐라 할거야?,안함
수강신청 그냥 아무거나 때려넣어도 됨?,휴학할건데 수강신청을 왜 함??
자취생들 본인이 쓰는데 적당히 괜찮다 싶은거 추천해줄 수 있어?우리집 에어프라이어는 사은품으로 받은거 걍 쓰는거라 진짜 1도 모름 몇L가 적당한지 어디가 괜찮은지,그냥 쿠팡에 검색했을 때 가장 리뷰 많은 거 사줘
알려주시면 감사하겠습니다 🥺,과사 전화ㄱㄱ
기계공17학번이 4학년 1학기는 13학점들어도 2학기에 받는건가요?아직도 봉사활동 6시간기준있나요,12학점 이상 들으면 다음학기에 나오고 봉사활동은 대면이 되면 어떨지 모르겠지만 지금은 1시간이에요
아니면 1처럼 여러교수님 돌아가면서듣나?,1처럼 여러교수님이 돌아가면서 들어오
1인실도 거리순임? 성적은 뒤에 보고?,응
"월 8,9 수2 면 다른 수업이 아니라 같은 수업인거지..?",같른 수업인데 듣는 날이 나눠져있는 거
아직 안 올라온 강의들은 언제 올라오는거...?,ㄱㄴㄲ 개빡쳐 내일이 예비수강인데
전공7 핵교1 추천 비추천?,ㄷㄷ 그러면 이도저도 안됨
아 점 먹든 점 저 먹든 아 저 먹든 내 선택인거지?,ㅇㅇ
생활비 열림?,ㅇㅇ
수용인원 왜이렇게 적어..? 1인실은 걍 로또 당첨 수준이네,코로나니까
232만9400원맞음?홈피에는 이렇게나오는데,맞아
왜 난 아직 소득인정액 산정 중 이라고 나오지?ㅠ,늦게 신청햇나부네
알고리즘 과목 하나라 수강 좀 빡셀거같은데 어떤내용 과목인가요?,씨언어로 알고리즘 코딩이용
혹시 무전공 노베이스가 도전해보기에 어떨까요?난이도나 공부 입문 측면에서?기간은 6개월정도 있어요,공대생이면 할만할듯
4학년2학기까지 학점이랑 요건 다채우고 졸업만미루는건가요?유예철회할때는 수업들을필요없이 졸업만 정해진 시기에 하는건가요?,4-2학기 다채우고 졸업 미루기 예스
많이 빡센가용...그냥 5전공 1교양이 낫겟죠..?,2~3학년엔 7전공도 들어요
편입생은 못들음?,편입생은 전필만들어도 벅찰텐데
리모델링 전에는 얼마였나용??,비슷해요
에타에서 확인이 어렵네혹시이 오늘 백반 메뉴 알려줄수있어?,삭제된 댓글입니다.
바로 군휴학하면 다음학년으로 처리돼있음?,ㄴㄴ
알바가야되는데 미치겠엉 ㅠㅠ,한의원가서 침맞아
심화선택 이런걸로 채우는거자나요! 근데 심화필수같은 과목은 없나봐요??!!!,네!!! 없어요!!!!
"일반휴학를 신청했다가 군휴학 하려면 그냥 군휴학 신청하면 되나요??(지금 일반휴학하고 6월 중에 입대예정, 입영날짜는 3월에 나와요!)",ㅇㅇ
"72 이하로 하라는 거면 130학점 필요하니까 전공 72, 대학 특화 9, 교양 49 들으라는 거임...?",이상이 아니라? 이하?
요번엔 공지 안뜨나요? 뭐 신청하라던지 시간표 짜줬었는데 학과에서,학과 사이트에 들어가보ㅕㄴ 있음
"졸업이수학점을 학과홈피에서 찾아보려 했는데, C+U200 그 유닛 그거만 게속 떠서 안보여ㅠㅠ18학번이라 유닛은 상관 없거든? 전자과인데 혹시 아는사람..?그리고 국장 최소 수강학점이 12학점이야? 예를들어 이전에 많이 듣고 4학년때 12 12 이런식으로 해도 국장 나와?",https://www.hanbat.ac.kr/kor/sub05_030601.do
이렇게 신청만 뜨면 된거임?,나도 저렇게 뜨는거보니 된 거 맞는 것 같음
수공강 금공강 뭐가나아요?,수
로아돌아가는 컴퓨터사고싶은데 다나와에서 나랑같은처지 사람들이 견적문의한거 똑같이 사면돼??그리고 당근으로 사서 중고게이밍컴퓨터로 사도되나..?,너가 돈이 얼마나 있냐에 따라 다르긴한데 조립이면 대충 150 ~ 200 정도만 있으면 쌉가능임
직방에서 보는 건 많던데.. 가면 다 없겠지??,비싸고 좋은방은 12월에 다나갔더라
들어온 사람 있음? 나만 안들어왔나,2월3일에 들어옴
설비공학과 졸업요건 정확히 아는분 계시나요?학과홈페이지를 찾아봐도 정확히 없고...( ´•̥-•̥` )각 학년도 교과과정만 올라와있는데 현재 개설되는 교과명들이랑 이름도 다 다르고 무슨과목이 뭐로 바뀐건지 공지도 안나와있어요 혹시 잘 아시는 분 계시면 알려주세요,교육과정에 필수붙은것만 다들으면됩니다
??이게 무슨일이야. 작년에도 이럼? 참고로 복학생,학년별 수강신청으로 바뀌면서 다른 학년 인원 배분을 개같이 함
5월에 들어가면 일반휴학 해놓고 3월에 날짜 나오면 군휴학으로 바꿔도 되나요?,ㅇㅇ
3학점짜리 듣는다고 치면 주 몇일 몇시간수강하나요??,삭제된 댓글입니다.
이건 그 과 아니면 못 듣나요?,아마 신청해도 과사에서 짜를거같은데요
1학년때 배웠던거 거의 다 모르겠는데 전공을 잘 들을 수 있을지 걱정이 큽니다... 준비하기에는 시간도 별로 없네요 ㅠㅠ,힘들지만 할 만 함
수강신청 안해도 ㄱㅊ?,ㅇㅇ
오티도 출석 체크하나? 점수에 들어가는..?,ㅇㅇ
3학년 전공과목을 들으려고 보니 자바가 권장이수과목? 그거더라고요 이번학기에 자바 들으려고 하니 3학년은 한명인가 신청하게 되어있던데 자바 안 배우고 3학년 전공 들으면 힘들까요?,C랑 C++은 공부했어요
어디할거야? 난 물주인 아빠님께 물어보니 한밭관 신청하시라네,한밭관 1식
추천ㄱㄱ,삭제된 댓글입니다.
3차를 안맞으면 식당 도서관 이용 불가인가?,일단 도서관은 백신패스 없어짐
친구가 pc텔가서 밤새도록 겜 조지자는데가본사람있어? ㄱㅊ음?,그냥 pc가면 안되나
직선거리 59.5Km인데 기숙사 아무데도 못붙는다는 게 사실인가요??전에 보니까 20키로 내외인 분들도 붙던데....희망의 끈 놓아야할까요,어디사는데?
정하셨나요? 3학년되는데 아직 진로를 못찾았어요학과가 저한테 맞는지를 모르겠어요아직 길을 찾지 못했는데 여러분은 어떤가요?,나도
면접 어떤거 준비하냐?,준비 따로 안하고 지금 옷뭐입을까 고민중 ㅎ
특필로 된 과목이 있는데 저의 학번에서는 안들어도되는 패논패 과목인데 수강하면졸업학점에 포함되는건가요? 전공이나 교양은 아니죠?,삭제된 댓글입니다.
휴학하면 사라지는 건가요?,Yes
1학년 때 핵교 3개 이상인가? 그거 다 들어야 졸업할 수 있다고 해서 다 들었는데 그러면 2학년 때 아무거나 들어도 상관없나요?,핵교를 꼭 1학년 때 다 안 들어도 ㄱㅊ 2~4학년 때 들어도 괜춘
1학년때 들은 강의 2학년때 또 들어도 상관없나요? 아니면 교수님이 달라야하나요?,그걸 재수강이라합니다
국장다자녀 신청했는데 성적우수장학금은 신청 못하나요..?,다자녀면 등록금 안낼텐데 상관없지 않나요?
종류가 많은데 이런거 써도 되나?,일회용마스크 이런거 아니면 될듯
질문이 많아 미안해17학번이면 교육과정 뭐따라가야되?설계 12학점들어야하는데이번에 유체기계과목 증발했는데 남는설계학점 뭐로받아? 물론 그거없어도 12학점 채울순있는데 그럼 나머지 다들으란거잖아ㅠㅠ그리고 난 진로설계1만 들었는데남는 진로설계 234 다들어야해? 한번에 들을수있나그리고 갑자기생긴 기업가정신과 창업 이건왜 특필이야ㅋㅋ 학석사껀가?,17이면 진설 3이나 4들으면 되고 교육과정은 니 학번따라 ㄱ
백신증명서없으면 못 먹어?,2학기때는 했는데
혹시 매주 발표 있는 건가요?,네
강의평이 하나도 없어서 어떠셨는지 말씀해주실 분 계실까요?,나도 올해 4학년되는데  그거 알아보니깐 cae로  컴퓨터 실에서만 수업하던데 캐드못알인 나는 무섭다..
궁금해서 그랭,전화주문하면 가능
졸업정보조회 뉴르면 졸업정보조회 대상이 아니라고 나옴 ??졸업하는지 확정인지 확인할 방법 없음 ?,응 나도 글케 나옴
62km정도면 2인실 1차로 붙을 수 있을까요?? 간절합니다ㅠㅠ,어디사는데??
해외주식 하려는데 카뱅에서 해주는거 아니면 따른데서 할까? 별차이 없나,증권사 써라
분석화학 30명 정원 반 하나밖에 없ㄴ는데 듣는사람이 그렇게 없나요????,분석 듣는거 추천
이거 나 재수강 하려구 하는데 이름이 인권과 사회로 바뀐거야?? 둘이 똑같은고지?,교수가 같으면 똑같을걸?
언제할 수 있을까요??,삭제된 댓글입니다.
기공 4학년 과목 메카트로닉스나 로보틱스 왜 하나도 조회가 안되지??,무슨 말이야? ㅅㅂㅎ교수님 하시는거잖아
등록금 내고 하려는데 장바구니 안담아도 ㄱㅊ? 수강신청도 안해도 ㄱㅊ?,과사에 전화해보는 건 ㄱㅊ?
군적금들라고 은행에서 오는거임 아니면 찾아가야하는거임?,훈련소가면 작성하라고 종이나눠줌
룸메이트 신청 안되겠죠?,29일부터 아닌가요
학교헬스장도 풀로 열어주겠지?,ㄴㄴ
보통 몇 일 걸리나요?,2일
화장실어떻게 생긴거야..?사진이없어서,공용화장실
등록금내고 군휴학 할려고 하는데요 수강신청을 해야하나요?,안해도 등록금은 나옴
어디로 가장 가고 싶음?,3차
다들 몇급 몇점 나왔어?,2급 턱걸이 ㅎㅎ.....
마찬가지로 심전 전필 합친게 전공학점 맞나요?,교양을 말하고 싶은건가
응용화학개론 원래 3학점짜리 아니었어? 2학점 수업은 뭐임?,응용생명쪽은 2학점 화공쪽은 3학점
이론 아예 하나하나 완벽히 모든걸 외웠어...?화학쪽 기사 준비중인데 아무리 이론봐도 기출문제는 또 다른 느낌이라,기출에나오는공식만외우셈
낼이 장바구니 아니었음?? 26이야?,26임
이번에 리모델링 했다던데 그대로일려나?,한밭관 이번에 신청받음? 사진 btl이랑 3차밖에 못봤는데
이번학기도 거리순임???,거리가 가장 클걸 정확한건 전화해봐
긱사신청하고 비대면이면 중도퇴사하는게 맞겠지?,ㅇㅇ
이거 어떻게 적어야하나요?,"저도 궁금합니다,, 재학일자는 오늘 날짜로 하면 되는 건가.."
"전선 화공응용화학개론, 유기화학1, 분석화학 중에 뭐듣는게 나을까요? 그리고 보통 몇전공 듣나요..?",삭제된 댓글입니다.
저는 이제 3학년 1학기 맞이하는 새내기인데요유체역학2 안들으면 손해 볼 상황이 생길까요??일반기계기사시험은 따고싶어요👊👊,안들어도 잘만 삽니다
저번엔 잘뜨다가 졸업정보조회 대상이 아니라고 뜨는데 다른사람들도 그럼?,졸업논문 합격나옴?
미분적분학2를 안들었는데 공업수학1은 못 듣는건가요?,ㄴ
재수강해야하는 과목이 만약 2학년과목이면 2학년들 수강날 신청하는건가요 아님 전체학년 신청할때하는건가요?,전체
머가 머냐? hp5 랑 xp2 차이는 모야,그런 건 검색만 해봐도 나올 걸
2월부터로 나와있는데 왜 다 수강신청얘기지?? 갑자기 에타들어오니까 뭐지….?,오늘끝남 안했음?
아케인 볼려구하는데 롤 아예 몰라도 영화 보는데 딱히 지장없나요?,ㅇㅇㅇ
예를들어 과사에 전화해본다던가 해도 확실히 장학금 받는지 알 수 있는 방법은 없는거죠..? 자기가 장학금 가능성 있다고 생각하면 봉사 해놓는건가요..?,지금은 전화해도 잘 모르죠
다들 유동균인강보던데 시나공도 괜찮죠?,삭제된 댓글입니다.
어떻게 생각해?,어떤 어학교채
거기 어떰? 1층인데,1층은 무조건 거름
다들 저녁 뭐먹었어?,고추장비빔밥
열전달 감당 가능?,안듣고 들을수있나?? 선이수과목인지 확인 ㄲ
오늘 열었나요..?,ㄴ
비트코인이랑 그래픽카드 가격이랑 무슨 관련있어???,그래픽카드로 채굴하거든
스터디 할려고 하는데.,삭제된 댓글입니다.
맛술 양배추 순두부 사야하는데 ㅠ,조금 멀어도 돼면 정림스토어
내일  여쭤볼 거 있어서전화 해보려는데   친절 하셔?,ㅈ나친절하니까 꼭 전화해봐라 ㅋㅋ
등록 휴핫 하려면 수강신청 해야돼??말들이 너무 다르네...,ㄴㄴ
큐넷 가입하고 사진등록은 했는데 학점은 106학점 이상인데 따로 성적증명서같은걸 내야되나 해서요.,학점 106점 이상 그거 학은제임  우리는 4학년되면 다볼 수있음
이거 그냥 교양인가요? 재학생이 들어도 되나용?,ㅇㅇ
3학년 2학기때 다 들을수 있나요??,수강신청만 되면 들을수있어
경영회계 막학기 조기취업자로 취업계 가능할까? 아니면 교수님 재량에 따라 된다거나… 6학점 남았는데 취업 기회가 생겨서ㅠ,안된다고 봐야됨
언제쯤 발표나나요?,몇점인데??
대면이랑 비교하면 어때?과제가 더 많은 대신 학점 따기는 더 쉬운가?,ez
진급학점 못 넘으면 어떻게 되는구야??,진급을 몬해
어떤거 같음,비
2학년 이번에 전선 몇개 들어??,삭제된 댓글입니다.
뒤지는 병 있음?,난 안 뱉는데
장바구니에 담는거 폰으로도 되나요?,넹
대면이면 직접 체육관같은곳 모여서 수업하나요?,네
정정할 기회가 중간고사 전 주 밖에 없나?,"수강신청 하는 일주일(신청과 정정), 중간전(철회)"
보통 실기 필기 각각 기간 얼마나 걸려?,한달반 두달정도
어디가 좋아?,너방
한국사의 이해가 졸업 필수 과목인데모든 한국사의 이해 수업 4학년 정원이 2명이네요;;원래 이런가요??,네 원래 그래요
전화주고가면 할인도못받는데포장하면 가게가 손해보나?,ㅇㅇ
방학에 연구실 가봤나요...?,교수도 방학은 쉬어야지 ㅇㅇ
지금 나만안돼..??,원래 톡올사람도 할사람도 없어서 모르겠어... 미안....
나도 신청했는데.. 있어??,왱
같은과목에 교수님도 같은데 시간되는과목이 학석으로 분류가 되어있어서요그냥 들어도 괜찮나요?,신청자체가 안되지 않나?
쿠팡 금요일 심야일했는데 돈 월요일에 들어오나요.?,쿠팡 소분이요?
월세 얼마 정도가 적당해요? 좀 괜찮은 곳 살려면,35이상
올해 4학년 돼서 공유대학때문에 1년 졸업유예하면서  다니려고 했는데  너무 시간 낭비인가?,어짜피 취업못할꺼같으면 나쁘진않은데 그거한다고 취업이 된다는 보장도 없음 어디로 취업할꺼냐에 따라 다를듯
6만원 이상 상품에 5천원 할인 적용 되는 쿠폰 인가봐!나는 쓸일 없어서 올려~ 2월까지야!,신고할게
6월에 군대넣을거라 휴학신청 하려했는데.  심전 신청했다고 못한다고 뜬다.  과사에 전화했을때는 휴학하기전에 미리신청하면 편하다고 해서 신청한건데.. 통수맞은건가 뭐지,과사에 전화해봐
학점 인정 됨 ?,학은제 할라구?
한밭대 앱이랑 통합학사앱에선 로그인 됬는데…이상하게 수강신청앱은 같은 아이디 비번으로 로그인이 안되더라구요..?원래 수강신청전용 아이디 비번이 따로있너요?,아니 수강신청 기간이 아니면 로그인이 안된다니까요 신입생도 아닐텐데 왜그러지???
"원래 진로설계2 였던게 3이랑 4로 나눠진거임??그러면 3,4 둘다 들어야 됨??",ㅇㅇ
상평이어도 3.5 우수c 힘들겟죠?,네
어디소개해줘야돼..?내가 하도 한국중심대전이라고 해서온다했거든..,신세계
기본으로 들을 수 있는 학점이 몇학점까지죠? 18인가요? 20까지인가요?,학과마다도 다름
통합학사 계정이랑 똑같은거 아냐? 통합학사 로그인은 잘만 되는데 수강신청 사이트는 왜 로그인 실패라 뜨지 계속 ㅠ,수강신청기간이 아니니까
저녁시간아님 늦은 새벽에 슥삭슥삭 거의 30분 정도 소리 남….. 뭐지? 발소리도 잘 안들리는데 어쩌다 큰 쾅! 소리나고 운동하는건가? 내가 평소 드라마봐서 소리 안들리는데 다끄고 있으니 너무 잘들린다,나도 그런 소리 들리던데..
2학년수업 재수강하려면 2학년때 신청해야지?,2학년할때
화분기 준비하는 사람 중 혹시모르는거 알려줄 사람나도 강의는 들어봐서 알려줄 수는 있는데진짜 좀 노답외울거 왜케 많음??기사 시험 핵어렵다 울고싶다 화난다 모르는 문제 나올 때마다 때려치고 싶어,오픈카톡방 같은거 들어가!
현재 재학중인 학교것만 해당되는거야?편입생이라 패죽여도 4학년전에 105학점 안나오는데...,삭제된 댓글입니다.
혹시 타대생도 교내 도서관을 이용 가능하나? 이번에 친구랑 같이 학교 근처 원룸에 자취하게 되서 ㅎㅎ,지금 백신패스때문에 안됨ㅇㅇ
데이터가 없어서 혹시 802번버스에서 와이파이 되나요?,대전에 있는 버스는 다 될걸요?
심화전공 12과목 듣는게 이수조건에 포함되어 있는데 이 심화과목들 심화전공 신청안해도 들을 수 있는건가요 ?,넹
2학년 시간표 학과에서 짜주나요?,삭제된 댓글입니다.
확진자들은 학식당 이용 안하나??학식을 몇 명이 먹는데 ㅋㅋㅋㅋㅋ,몇명이 먹는데?
개설학과에서 눈 씻고 찾아봐도 안보이네,오늘 전화해봤는데 상담해봐야한대
교내근로 설날엔 안하는거야?  그럼 그주는 수당 못받는거고?,네 원래 공휴일은 시간입력못해용
